,pid,name,sid,sentence,score,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,,,,,,,,,,,,,,,,
32,0,alabama,32,Trade with the northeastern tribes by the Ohio River began during the Burial Mound Period (1000 BCE – 700 CE) and continued until European contact.,0.19,0.033973606606014,0.032962955522817,0.052918412198778,0.029106050380506,0.032273250212893,0.029997013916727,0.028040805092314,0.394060527905822,0.035953373659868,0.330714010819793,,,,,,,,,,,,,,,,
33,0,alabama,33,"The agrarian Mississippian culture covered most of the state from 1000 to 1600 CE, with one of its major centers built at what is now the Moundville Archaeological Site in Moundville, Alabama.",0.14,0.056449045764748,0.067157761298586,0.104560843179934,0.049304003140424,0.058399017422926,0.070311659527943,0.088521517906338,0.228369658999145,0.140311615122482,0.136614891700447,,,,,,,,,,,,,,,,
34,0,alabama,34,"This is the second-largest complex of the classic Middle Mississippian era, after Cahokia in present-day Illinois, which was the center of the culture.",0.19,0.039085350302048,0.061401093099266,0.104644493805245,0.073470731358975,0.044188194232993,0.068095172592439,0.066118273884058,0.162005939218216,0.297017771750689,0.083972972491756,,,,,,,,,,,,,,,,
35,0,alabama,35,Analysis of artifacts from archaeological excavations at Moundville were the basis of scholars' formulating the characteristics of the Southeastern Ceremonial Complex (SECC).,0.22,0.060935280029662,0.103236948698759,0.0642770471517,0.089625899924431,0.034281673841179,0.033144862740301,0.199023750051856,0.152106160484254,0.166551295900717,0.096817094366998,,,,,,,,,,,,,,,,
36,0,alabama,36,"Contrary to popular belief, the SECC appears to have no direct links to Mesoamerican culture, but developed independently.",0.13,0.112544793682173,0.413754404336214,0.087220672145486,0.029290413891431,0.033765625872184,0.06003302722238,0.038865042605903,0.077186872449238,0.057232180191204,0.090106946445303,,,,,,,,,,,,,,,,
37,0,alabama,37,The Ceremonial Complex represents a major component of the religion of the Mississippian peoples, it is one of the primary means by which their religion is understood.,0.14,0.080146426917054,0.288167285919189,0.129742781608366,0.068784599215724,0.0629287855234,0.084585766028613,0.07601153079886,0.061526866070926,0.032782503438648,0.115323456004262,,,,,,,,,,,,,,,
38,0,alabama,38,"Among the historical tribes of Native American people living in present-day Alabama at the time of European contact were the Cherokee, an Iroquoian language people; and the Muskogean-speaking Alabama (Alibamu), Chickasaw, Choctaw, Creek, and Koasati.",0.25,0.019052694540005,0.016753325873287,0.347935720533132,0.015108884684742,0.021842808637302,0.019095757126343,0.038921736460179,0.084408032614738,0.057352776639164,0.379528266936541,,,,,,,,,,,,,,,,
39,0,alabama,39,"While part of the same large language family, the Muskogee tribes developed distinct cultures and languages.",0.13,0.069142165291123,0.23794268053025,0.182183732651174,0.073755475622602,0.052568018436432,0.039403378206771,0.070944577385672,0.061230612755753,0.047137668402866,0.165691682277247,,,,,,,,,,,,,,,,
40,0,alabama,40,"With exploration in the 16th century, the Spanish were the first Europeans to reach Alabama.",0.14,0.095397383300588,0.06062596233096,0.120851733535528,0.044889144133777,0.041790238639806,0.063987704296596,0.038797303149477,0.08192840164993,0.04572824240895,0.406003892421722,,,,,,,,,,,,,,,,
41,0,alabama,41,The expedition of Hernando de Soto passed through Mabila and other parts of the state in 1540.,0.13,0.097608319181018,0.470336843281984,0.063582832651446,0.062503481697058,0.047374387120362,0.038925764587475,0.055604251730256,0.061437736218795,0.043037760606967,0.059588618471753,,,,,,,,,,,,,,,,
42,0,alabama,42,"More than 160 years later, the French founded the region's first European settlement at Old Mobile in 1702.",0.16,0.025764081231319,0.042697696969844,0.049740842613392,0.020271808526013,0.057000205141958,0.017735465284204,0.019294359243941,0.135490839090198,0.037648436566815,0.594356265664101,,,,,,,,,,,,,,,,
43,0,alabama,43,The city was moved to the current site of Mobile in 1711.,0.13,0.070212743501179,0.304944106191397,0.089294386074471,0.094361910689622,0.045896013989113,0.06024816527497,0.081472339527682,0.046566134784371,0.113648874917999,0.093355336599052,,,,,,,,,,,,,,,,
